epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5402.75,0.71072,0.63544,1.04849,0.74493,0.79772,0.81399,0.57836,0.71603,0.62171,1.00402,0.000990365,0.000990365,0.000990365
43,5529.12,0.70879,0.5701,1.06545,0.74902,0.86561,0.84699,0.60184,0.69621,0.58348,0.99163,0.000973861,0.000973861,0.000973861
44,5655.57,0.69827,0.56627,1.03592,0.80435,0.79346,0.84789,0.59448,0.68877,0.59326,0.98136,0.000957358,0.000957358,0.000957358
45,5782.47,0.69898,0.54296,1.06445,0.79039,0.81205,0.8479,0.58461,0.71553,0.60884,1.00573,0.000940855,0.000940855,0.000940855
46,5910.94,0.70966,0.5364,1.06617,0.80498,0.79657,0.81938,0.56789,0.70255,0.60057,1.00052,0.000924352,0.000924352,0.000924352
47,6037.83,0.69635,0.6104,1.04273,0.76328,0.82559,0.8352,0.58431,0.67229,0.59101,0.9826,0.000907848,0.000907848,0.000907848
48,6164.95,0.69737,0.56185,1.04803,0.77881,0.83377,0.84832,0.61471,0.65195,0.55353,0.96855,0.000891345,0.000891345,0.000891345
49,6293.61,0.64612,0.56296,1.04422,0.7895,0.8111,0.85034,0.60305,0.66622,0.57651,0.96396,0.000874842,0.000874842,0.000874842
50,6419.6,0.67008,0.53848,1.02743,0.81163,0.80247,0.8552,0.58537,0.65819,0.57573,0.96473,0.000858338,0.000858338,0.000858338
51,6547.57,0.67036,0.53543,1.0343,0.79159,0.84964,0.84447,0.60817,0.63274,0.54705,0.95394,0.000841835,0.000841835,0.000841835
52,6675.02,0.6451,0.54246,1.03436,0.80993,0.78203,0.84526,0.60092,0.64294,0.53993,0.96758,0.000825332,0.000825332,0.000825332
53,6803.32,0.67725,0.5667,1.02999,0.85262,0.77572,0.8632,0.62268,0.64418,0.55542,0.96643,0.000808828,0.000808828,0.000808828
54,6931.76,0.64385,0.53031,1.0142,0.77253,0.88759,0.87771,0.6278,0.62868,0.53239,0.94851,0.000792325,0.000792325,0.000792325
55,7058.99,0.66491,0.53313,1.0255,0.80298,0.81031,0.86074,0.61348,0.64498,0.55863,0.96466,0.000775822,0.000775822,0.000775822
56,7185.15,0.63515,0.53085,1.02397,0.7975,0.82852,0.8621,0.62416,0.62363,0.53051,0.95769,0.000759318,0.000759318,0.000759318
57,7313.21,0.63039,0.53823,1.0226,0.77967,0.87109,0.86962,0.62124,0.6705,0.52615,0.99041,0.000742815,0.000742815,0.000742815
58,7442.34,0.6572,0.52624,1.02736,0.77655,0.84577,0.85046,0.61917,0.62783,0.50565,0.94034,0.000726312,0.000726312,0.000726312
59,7568.67,0.63639,0.52166,1.00884,0.77801,0.86456,0.85749,0.62637,0.61449,0.49383,0.93757,0.000709809,0.000709809,0.000709809
60,7695.27,0.6615,0.52337,1.03442,0.80158,0.86037,0.87681,0.6456,0.61317,0.49162,0.94268,0.000693305,0.000693305,0.000693305
61,7823.1,0.62911,0.52319,1.01813,0.79145,0.87295,0.8724,0.63825,0.58011,0.48136,0.92262,0.000676802,0.000676802,0.000676802
62,7949.6,0.65356,0.51085,1.02178,0.77549,0.88705,0.86681,0.63868,0.57771,0.48088,0.92048,0.000660299,0.000660299,0.000660299
63,8076.1,0.63226,0.5049,1.02612,0.77269,0.90512,0.86696,0.6285,0.65512,0.47727,0.96207,0.000643795,0.000643795,0.000643795
